freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.047e+04,1.195e+03,6.802e+02,1.235e+04
1.2,5.073e+04,5.077e+03,3.249e+03,5.906e+04
2.4,6.385e+04,5.473e+03,4.139e+03,7.346e+04
3.6,6.856e+04,5.775e+03,4.514e+03,7.885e+04
4.8,6.017e+04,6.230e+03,4.512e+03,7.091e+04
6.0,6.129e+04,6.895e+03,3.990e+03,7.218e+04
7.2,7.525e+04,5.970e+03,3.384e+03,8.460e+04
8.3,7.738e+04,6.292e+03,3.910e+03,8.758e+04
9.5,7.280e+04,6.723e+03,4.139e+03,8.366e+04
10.7,8.632e+04,6.923e+03,4.238e+03,9.748e+04
11.9,1.014e+05,7.071e+03,4.224e+03,1.127e+05
13.1,9.630e+04,7.745e+03,4.766e+03,1.088e+05
14.3,9.103e+04,7.705e+03,4.794e+03,1.035e+05
15.5,1.086e+05,7.303e+03,4.540e+03,1.204e+05
16.7,1.066e+05,7.021e+03,4.331e+03,1.179e+05
17.9,1.005e+05,6.718e+03,4.432e+03,1.116e+05
19.1,1.016e+05,7.547e+03,4.956e+03,1.141e+05
20.3,1.098e+05,7.306e+03,5.050e+03,1.222e+05
21.5,8.774e+04,7.010e+03,4.698e+03,9.945e+04
22.7,9.402e+04,6.261e+03,4.250e+03,1.045e+05
23.9,1.000e+05,7.323e+03,4.387e+03,1.118e+05
25.0,1.084e+05,8.158e+03,5.294e+03,1.218e+05
26.2,1.086e+05,7.338e+03,5.142e+03,1.211e+05
27.4,1.097e+05,8.328e+03,4.925e+03,1.229e+05
28.6,1.205e+05,1.025e+04,5.430e+03,1.362e+05
29.8,1.537e+05,9.185e+03,5.274e+03,1.682e+05
31.0,1.838e+05,1.002e+04,6.087e+03,1.999e+05
32.2,1.648e+05,9.647e+03,6.045e+03,1.805e+05
33.4,1.793e+05,1.111e+04,6.596e+03,1.971e+05
34.6,1.933e+05,1.191e+04,7.109e+03,2.123e+05
35.8,2.183e+05,9.461e+03,6.526e+03,2.343e+05
37.0,2.417e+05,8.874e+03,6.039e+03,2.566e+05
38.2,2.386e+05,9.901e+03,6.162e+03,2.546e+05
39.4,2.079e+05,9.523e+03,5.725e+03,2.232e+05
40.6,1.543e+05,9.296e+03,5.518e+03,1.691e+05
41.7,1.929e+05,8.787e+03,5.864e+03,2.075e+05
42.9,1.948e+05,9.236e+03,5.505e+03,2.095e+05
44.1,1.995e+05,9.551e+03,5.720e+03,2.148e+05
45.3,3.379e+05,9.709e+03,6.735e+03,3.544e+05
46.5,3.406e+05,9.990e+03,7.553e+03,3.582e+05
47.7,3.628e+05,1.029e+04,7.640e+03,3.808e+05
48.9,4.234e+05,1.080e+04,8.920e+03,4.431e+05
50.1,5.068e+05,1.160e+04,1.010e+04,5.285e+05
51.3,6.147e+05,1.320e+04,1.195e+04,6.399e+05
52.5,8.097e+05,1.324e+04,1.375e+04,8.366e+05
53.7,8.566e+05,1.512e+04,1.532e+04,8.871e+05
54.9,1.227e+06,1.455e+04,1.469e+04,1.256e+06
56.1,1.701e+06,1.595e+04,1.444e+04,1.731e+06
57.3,2.302e+06,2.190e+04,2.045e+04,2.345e+06
58.4,2.188e+06,2.336e+04,2.412e+04,2.235e+06
59.6,1.869e+06,1.963e+04,2.186e+04,1.910e+06
60.8,2.206e+06,2.149e+04,2.454e+04,2.252e+06
62.0,1.535e+06,2.142e+04,2.187e+04,1.578e+06
63.2,4.631e+05,1.558e+04,1.150e+04,4.901e+05
64.4,7.535e+05,1.685e+04,1.328e+04,7.836e+05
65.6,6.327e+05,1.666e+04,1.280e+04,6.621e+05
66.8,5.050e+05,1.410e+04,1.039e+04,5.294e+05
68.0,2.905e+05,1.493e+04,9.717e+03,3.151e+05
69.2,2.240e+05,1.463e+04,8.516e+03,2.472e+05
70.4,2.377e+05,2.032e+04,1.095e+04,2.690e+05
71.6,2.370e+05,1.941e+04,1.325e+04,2.696e+05
72.8,1.994e+05,1.897e+04,1.176e+04,2.301e+05
74.0,2.025e+05,2.028e+04,1.353e+04,2.363e+05
75.1,2.227e+05,2.486e+04,1.537e+04,2.629e+05
76.3,2.013e+05,1.994e+04,1.272e+04,2.340e+05
77.5,2.020e+05,2.087e+04,1.294e+04,2.358e+05
78.7,2.348e+05,2.615e+04,1.478e+04,2.757e+05
79.9,2.203e+05,2.806e+04,1.548e+04,2.638e+05
81.1,2.182e+05,3.687e+04,2.068e+04,2.757e+05
82.3,2.384e+05,4.273e+04,2.561e+04,3.067e+05
83.5,2.171e+05,3.609e+04,1.986e+04,2.730e+05
84.7,2.136e+05,3.658e+04,2.001e+04,2.702e+05
85.9,1.827e+05,3.605e+04,2.018e+04,2.389e+05
87.1,1.650e+05,3.208e+04,1.802e+04,2.151e+05
88.3,1.718e+05,3.198e+04,1.761e+04,2.214e+05
89.5,1.779e+05,2.759e+04,1.533e+04,2.208e+05
90.7,1.937e+05,3.508e+04,1.950e+04,2.483e+05
91.8,2.135e+05,4.893e+04,2.551e+04,2.880e+05
93.0,1.876e+05,4.394e+04,1.999e+04,2.515e+05
94.2,2.397e+05,5.095e+04,2.607e+04,3.167e+05
95.4,2.430e+05,4.609e+04,2.275e+04,3.118e+05
96.6,2.270e+05,3.694e+04,1.911e+04,2.831e+05
97.8,2.780e+05,5.095e+04,2.782e+04,3.567e+05
99.0,3.490e+05,6.058e+04,2.698e+04,4.365e+05
100.2,3.095e+05,5.416e+04,2.491e+04,3.885e+05
101.4,3.021e+05,4.778e+04,2.271e+04,3.726e+05
102.6,3.156e+05,4.807e+04,2.249e+04,3.861e+05
103.8,2.497e+05,4.166e+04,2.261e+04,3.139e+05
105.0,2.574e+05,4.448e+04,2.495e+04,3.268e+05
106.2,3.331e+05,4.864e+04,2.513e+04,4.069e+05
107.4,3.202e+05,4.837e+04,2.639e+04,3.949e+05
108.5,2.903e+05,4.780e+04,2.868e+04,3.668e+05
109.7,2.838e+05,4.947e+04,2.726e+04,3.605e+05
110.9,2.660e+05,4.848e+04,2.374e+04,3.382e+05
112.1,2.192e+05,4.073e+04,2.180e+04,2.818e+05
113.3,2.504e+05,4.256e+04,2.316e+04,3.161e+05
114.5,2.590e+05,4.336e+04,2.557e+04,3.279e+05
115.7,2.693e+05,4.820e+04,2.248e+04,3.400e+05
116.9,3.054e+05,5.569e+04,2.182e+04,3.830e+05
118.1,2.389e+05,4.945e+04,1.755e+04,3.059e+05
119.3,2.591e+05,5.340e+04,2.306e+04,3.356e+05
120.5,2.724e+05,5.567e+04,2.397e+04,3.520e+05
121.7,2.503e+05,6.321e+04,1.944e+04,3.330e+05
122.9,2.503e+05,5.759e+04,1.996e+04,3.278e+05
124.1,3.440e+05,5.981e+04,3.400e+04,4.379e+05
125.2,3.427e+05,6.073e+04,3.255e+04,4.360e+05
126.4,2.614e+05,5.571e+04,2.273e+04,3.398e+05
127.6,2.471e+05,5.424e+04,2.187e+04,3.232e+05
128.8,2.547e+05,5.285e+04,2.220e+04,3.297e+05
130.0,2.570e+05,4.928e+04,2.070e+04,3.270e+05
131.2,2.762e+05,5.216e+04,2.305e+04,3.514e+05
132.4,2.570e+05,5.482e+04,2.060e+04,3.324e+05
133.6,1.950e+05,4.506e+04,1.386e+04,2.539e+05
134.8,2.000e+05,4.248e+04,1.411e+04,2.566e+05
136.0,1.524e+05,4.076e+04,1.230e+04,2.055e+05
137.2,1.349e+05,4.206e+04,1.160e+04,1.886e+05
138.4,1.613e+05,4.050e+04,1.152e+04,2.133e+05
139.6,1.319e+05,3.375e+04,1.146e+04,1.771e+05
140.8,1.235e+05,3.825e+04,1.280e+04,1.745e+05
141.9,1.372e+05,4.610e+04,1.462e+04,1.979e+05
143.1,1.572e+05,3.979e+04,1.281e+04,2.098e+05
144.3,1.617e+05,4.010e+04,1.372e+04,2.155e+05
145.5,1.486e+05,4.935e+04,1.571e+04,2.136e+05
146.7,1.595e+05,4.838e+04,1.355e+04,2.214e+05
147.9,1.711e+05,4.423e+04,1.322e+04,2.286e+05
149.1,1.180e+05,4.022e+04,1.269e+04,1.709e+05
150.3,1.273e+05,4.545e+04,1.654e+04,1.893e+05
