freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.231e+01,2.468e+02,6.130e+01,3.205e+02
1.5,1.506e+01,1.463e+02,6.645e+01,2.279e+02
3.1,1.201e+01,1.942e+01,4.020e+01,7.164e+01
4.6,1.179e+01,3.282e+02,3.635e+01,3.764e+02
6.1,1.141e+01,1.310e+03,3.750e+01,1.359e+03
7.7,1.888e+01,2.328e+03,4.542e+01,2.392e+03
9.2,3.505e+01,3.280e+03,4.907e+01,3.364e+03
10.7,5.762e+01,5.115e+03,8.213e+01,5.255e+03
12.3,9.914e+01,6.274e+03,1.305e+02,6.504e+03
13.8,7.710e+01,6.671e+03,7.707e+01,6.826e+03
15.3,5.998e+01,8.991e+03,5.397e+01,9.105e+03
16.9,7.348e+01,1.165e+04,8.516e+01,1.181e+04
18.4,5.262e+01,1.494e+04,1.472e+02,1.514e+04
19.9,3.686e+01,1.977e+04,2.584e+02,2.007e+04
21.5,4.802e+01,2.631e+04,2.378e+02,2.660e+04
23.0,6.387e+01,3.586e+04,2.119e+02,3.614e+04
24.5,8.515e+01,4.934e+04,4.730e+02,4.990e+04
26.1,1.342e+02,6.909e+04,9.762e+02,7.020e+04
27.6,2.433e+02,1.062e+05,2.031e+03,1.085e+05
29.1,4.363e+02,2.060e+05,5.075e+03,2.115e+05
30.6,5.973e+02,4.000e+05,1.214e+04,4.127e+05
32.2,4.810e+02,4.716e+05,1.682e+04,4.889e+05
33.7,3.410e+02,4.047e+05,1.738e+04,4.224e+05
35.2,3.110e+02,3.280e+05,1.735e+04,3.457e+05
36.8,3.511e+02,2.596e+05,1.739e+04,2.774e+05
38.3,4.203e+02,1.997e+05,1.734e+04,2.174e+05
39.8,4.018e+02,1.579e+05,1.742e+04,1.758e+05
41.4,2.240e+02,1.490e+05,1.962e+04,1.689e+05
42.9,1.281e+02,1.299e+05,1.897e+04,1.490e+05
44.4,4.174e+02,9.884e+04,1.637e+04,1.156e+05
46.0,1.657e+03,7.894e+04,1.665e+04,9.724e+04
47.5,7.065e+03,6.115e+04,2.117e+04,8.939e+04
49.0,3.456e+04,3.351e+04,3.221e+04,1.003e+05
50.6,9.271e+04,8.726e+03,4.442e+04,1.459e+05
52.1,1.011e+05,9.084e+03,4.377e+04,1.540e+05
53.6,5.447e+04,1.977e+04,5.149e+04,1.257e+05
